VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
1,7/1/2015 0:00,7/1/2015 0:16,1,10.4,-73.87285614,40.77416611,1,N,-73.97262573,40.74351501,1,29,0.5,0.5,8.96,5.54,0.3,44.8
1,7/1/2015 0:00,7/1/2015 0:01,1,0.5,-73.95932007,40.78002548,1,N,-73.95568085,40.7870369,1,3.5,0.5,0.5,1.2,0,0.3,6
2,7/1/2015 0:00,7/1/2015 0:27,2,8.55,-73.99230194,40.69432831,1,N,-73.98666382,40.76745605,1,27.5,0.5,0.5,10.3,5.54,0.3,44.64
2,7/1/2015 0:00,7/1/2015 0:05,1,1.62,-73.95280457,40.79186249,1,N,-73.9471817,40.80349731,2,7,0.5,0.5,0,0,0.3,8.3
1,7/1/2015 0:00,7/1/2015 0:20,1,5,-73.94991302,40.77632904,1,N,-74.00450134,40.73322678,1,18,0.5,0.5,4.8,0,0.3,24.1
1,7/1/2015 0:00,7/1/2015 0:06,2,2.1,-73.95363617,40.77964783,1,N,-73.9512558,40.8027153,2,8.5,0.5,0.5,0,0,0.3,9.8
1,7/1/2015 0:00,7/1/2015 0:09,1,1.6,-73.98435974,40.7370224,1,N,-73.98617554,40.71866226,1,8.5,0.5,0.5,1.95,0,0.3,11.75
2,7/1/2015 0:00,7/1/2015 0:06,1,0.94,-73.96756744,40.76287842,1,N,-73.98181915,40.76948166,1,6.5,0.5,0.5,1.5,0,0.3,9.3
2,7/1/2015 0:00,7/1/2015 0:06,5,1.12,-73.97540283,40.75189972,1,N,-73.99105835,40.75072861,1,6.5,0.5,0.5,2.34,0,0.3,10.14
2,7/1/2015 0:00,7/1/2015 0:10,1,1.92,-73.97074127,40.75326157,1,N,-73.98246002,40.77154922,1,9,0.5,0.5,15,0,0.3,25.3
1,7/1/2015 0:00,7/1/2015 0:11,1,2.7,-73.97157288,40.75909805,1,N,-74.00333405,40.75153732,1,10.5,0.5,0.5,2.95,0,0.3,14.75
1,7/1/2015 0:00,7/1/2015 0:15,1,4,-73.98869324,40.71939087,1,N,-73.92375183,40.69033051,1,14.5,0.5,0.5,3.95,0,0.3,19.75
2,7/1/2015 0:00,7/1/2015 0:13,1,2.57,-74.00619507,40.74041748,1,N,-74.0057373,40.71102905,1,11.5,0.5,0.5,2.56,0,0.3,15.36
2,7/1/2015 0:00,7/1/2015 0:26,1,10.75,-74.00551605,40.75091553,1,N,-73.97718811,40.6472702,2,31.5,0.5,0.5,0,0,0.3,32.8
2,7/1/2015 0:00,7/1/2015 0:04,3,0.87,-73.98698425,40.72957611,1,N,-73.97921753,40.73603058,1,5,0.5,0.5,1.26,0,0.3,7.56
1,7/1/2015 0:00,7/1/2015 0:12,1,2.4,-73.98164368,40.77340317,1,N,-73.97763062,40.74736786,2,10.5,0.5,0.5,0,0,0.3,11.8
